time,dataset,apnea_type,excerpt,file,test_acc,n_train,n_test,epochs
07/05/2021 16:51 PM,patchAllisterW,osa,123,results/results.csv,1.0,102,26,15
07/05/2021 16:55 PM,patchAllisterW,osa,123,results/results.csv,1.0,102,26,15
07/05/2021 16:57 PM,patchAllisterW,osa,123,results/results.csv,0.75,102,26,15
07/05/2021 17:01 PM,patchAllisterW,osa,123,results/results.csv,0.8125,102,26,20
07/05/2021 17:14 PM,patchAllisterW,osa,123,results/results.csv,0.8125,102,26,60
07/05/2021 17:35 PM,dreams,osa,1,results/results.csv,0.6377550959587097,411,103,30
07/05/2021 17:39 PM,dreams,osa,1,results/results.csv,0.5812499821186066,746,186,30
07/05/2021 17:41 PM,dreams,osa,1,results/results.csv,0.46875,323,81,30
07/05/2021 17:42 PM,dreams,osa,1,results/results.csv,0.6979166567325592,323,81,10
07/05/2021 17:45 PM,dreams,osa,3,results/results.csv,0.7013888955116272,578,144,20
07/05/2021 17:51 PM,dreams,osa,3,results/results.csv,0.7569444477558136,578,144,20
07/05/2021 17:55 PM,dreams,osa,3,results/results.csv,0.7013888955116272,578,144,20
07/05/2021 17:58 PM,patchAllisterW,osa,123,results/results.csv,0.75,102,26,15
07/05/2021 18:00 PM,dreams,osa,2,results/results.csv,0.640625,198,50,15
07/05/2021 18:03 PM,dreams,osa,2,results/results.csv,0.7575000077486038,298,74,15
07/05/2021 18:07 PM,dreams,osa,2,results/results.csv,0.6546874940395355,298,74,30
07/05/2021 18:10 PM,dreams,osa,4,results/results.csv,0.7192460298538208,1305,326,30
07/05/2021 18:15 PM,dreams,osa,2,results/results.csv,0.7437500059604645,298,74,20
07/05/2021 18:20 PM,dreams,osa,2,results/results.csv,0.7171874940395355,298,74,20
07/05/2021 18:24 PM,dreams,osa,2,results/results.csv,0.6968750059604645,298,74,20
07/05/2021 18:27 PM,patchAllisterW,osa,4,results/results.csv,0.4615384340286255,54,13,20
07/05/2021 18:28 PM,patchAllisterW,osa,4,results/results.csv,0.75,14,4,20
07/05/2021 18:29 PM,patchAllisterW,osa,4,results/results.csv,0.5,14,4,20
07/05/2021 18:30 PM,patchAllisterW,osa,4,results/results.csv,0.75,14,4,20
07/05/2021 18:31 PM,patchAllisterW,osa,4,results/results.csv,0.0,14,4,20
07/05/2021 18:32 PM,patchAllisterW,osa,4,results/results.csv,0.75,14,4,20
07/05/2021 18:33 PM,patchAllisterW,osa,5,results/results.csv,0.1428571343421936,29,7,10
07/05/2021 18:35 PM,patchAllisterW,osa,6,results/results.csv,0.625,31,8,10
07/05/2021 18:56 PM,dreams,osa,1,results/results.csv,0.6215734481811523,485,121,20
07/05/2021 19:04 PM,dreams,osa,0,results/results.csv,0.9921875,311,78,20
07/05/2021 19:09 PM,dreams,osa,2Box,results/results.csv,1.0,105,26,15
07/05/2021 19:10 PM,dreams,osa,3Box,results/results.csv,0.9895833330228925,544,136,15
07/05/2021 19:13 PM,dreams,osa,3Box,results/results.csv,1.0,544,136,15
07/05/2021 19:42 PM,dreams,osa,9Box,results/results.csv,0.9803921561688185,203,51,15
07/05/2021 19:43 PM,dreams,osa,1Box,results/results.csv,1.0,311,78,15
07/05/2021 19:43 PM,dreams,osa,2Box,results/results.csv,1.0,104,26,15
07/05/2021 19:43 PM,dreams,osa,3Box,results/results.csv,1.0,544,136,15
07/05/2021 19:44 PM,dreams,osa,1Box,results/results.csv,0.9921875,310,78,15
07/05/2021 19:45 PM,dreams,osa,2Box,results/results.csv,1.0,105,26,15
07/05/2021 19:45 PM,dreams,osa,3Box,results/results.csv,0.9947916665114462,544,136,15
07/05/2021 19:54 PM,dreams,osa,5Box,results/results.csv,1.0,224,56,15
07/05/2021 19:55 PM,dreams,osa,6Box,results/results.csv,0.9615384601056576,104,26,15
07/05/2021 19:59 PM,dreams,osa,5Box,results/results.csv,1.0,224,56,15
07/05/2021 20:00 PM,dreams,osa,6Box,results/results.csv,0.9615384601056576,105,26,15
07/05/2021 20:42 PM,dreams,osa,1Box,results/results.csv,1.0,310,78,10
07/05/2021 20:43 PM,dreams,osa,1Box,results/results.csv,1.0,311,78,10
07/05/2021 20:44 PM,dreams,osa,1Box,results/results.csv,1.0,310,78,10
07/05/2021 20:45 PM,dreams,osa,1Box,results/results.csv,1.0,311,78,10
07/05/2021 20:50 PM,dreams,osa,1Box,results/results.csv,0.9921875,310,78,10
07/05/2021 20:52 PM,dreams,osa,1Box,results/results.csv,0.9237132370471954,460,115,10
07/05/2021 20:53 PM,dreams,osa,2Box,results/results.csv,0.7692307680845261,156,39,10
07/05/2021 20:53 PM,dreams,osa,2Box,results/results.csv,0.589743584394455,156,39,30
07/05/2021 20:54 PM,dreams,osa,3Box,results/results.csv,0.9242187514901161,806,202,20
07/05/2021 20:56 PM,dreams,osa,3Box,results/results.csv,0.94921875,807,202,20
07/05/2021 20:57 PM,dreams,osa,2Box,results/results.csv,0.6666666567325592,156,39,20
07/05/2021 21:00 PM,dreams,osa,1Box,results/results.csv,0.9569546580314636,459,115,20
07/05/2021 21:01 PM,dreams,osa,4Box,results/results.csv,0.752982959151268,474,119,20
07/05/2021 21:02 PM,dreams,osa,5Box,results/results.csv,0.8938029706478119,493,123,20
07/05/2021 21:02 PM,dreams,osa,6Box,results/results.csv,0.8421052694320679,152,38,20
07/05/2021 21:03 PM,dreams,osa,7Box,results/results.csv,0.9571220949292183,427,107,20
07/05/2021 21:05 PM,dreams,osa,8Box,results/results.csv,0.695652186870575,90,23,20
07/05/2021 21:06 PM,dreams,osa,9Box,results/results.csv,0.8920454531908035,300,75,20
07/05/2021 21:10 PM,dreams,osa,1Box,results/results.csv,0.9315257370471954,459,115,20
07/05/2021 22:38 PM,dreams,osa,3Box,results/results.csv,0.9320312514901161,806,202,20
07/05/2021 22:38 PM,dreams,osa,2Box,results/results.csv,0.6666666567325592,156,39,20
07/05/2021 22:38 PM,dreams,osa,4Box,results/results.csv,0.8582386374473572,474,119,20
07/05/2021 22:38 PM,dreams,osa,5Box,results/results.csv,0.8924788162112236,493,123,20
07/05/2021 22:42 PM,dreams,osa,1Box,results/results.csv,0.9569546580314636,460,115,15
07/05/2021 22:43 PM,dreams,osa,2Box,results/results.csv,0.7948717921972275,156,39,15
07/05/2021 22:43 PM,dreams,osa,3Box,results/results.csv,0.9382812492549419,807,202,15
07/05/2021 22:44 PM,dreams,osa,4Box,results/results.csv,0.8556818217039108,474,119,15
07/05/2021 22:44 PM,dreams,osa,5Box,results/results.csv,0.8866525441408157,493,123,15
07/05/2021 22:44 PM,dreams,osa,6Box,results/results.csv,0.9473684206604958,153,38,15
07/05/2021 22:45 PM,dreams,osa,7Box,results/results.csv,0.9376816861331463,427,107,15
07/05/2021 22:45 PM,dreams,osa,8Box,results/results.csv,0.9130434766411781,90,23,15
07/05/2021 22:45 PM,dreams,osa,9Box,results/results.csv,0.9090909063816071,301,75,15
07/06/2021 13:07 PM,patchAllisterW,osa,10,results/results.csv,0.60546875,871,218,15
07/06/2021 13:08 PM,patchAllisterW,osa,10,results/results.csv,0.6884014308452606,871,218,10
07/06/2021 13:10 PM,patchAllisterW,osa,10,results/results.csv,0.6298076808452606,871,218,10
07/06/2021 13:11 PM,patchAllisterW,osa,10,results/results.csv,0.6265023946762085,871,218,10
07/06/2021 13:12 PM,patchAllisterW,osa,10,results/results.csv,0.6775568127632141,1112,278,10
07/06/2021 13:14 PM,patchAllisterW,osa,10,results/results.csv,0.6988636553287506,1112,278,10
07/06/2021 13:15 PM,patchAllisterW,osa,10,results/results.csv,0.6897727251052856,1112,278,10
07/06/2021 13:16 PM,patchAllisterW,osa,10,results/results.csv,0.6829545497894287,1112,278,30
07/06/2021 13:17 PM,patchAllisterW,osa,10,results/results.csv,0.6207932829856873,871,218,30
07/06/2021 13:19 PM,patchAllisterW,osa,10,results/results.csv,0.6403245329856873,871,218,30
07/06/2021 13:20 PM,patchAllisterW,osa,10,results/results.csv,0.6179534196853638,581,145,10
07/06/2021 13:22 PM,patchAllisterW,osa,10,results/results.csv,0.4144737124443054,581,145,10
07/06/2021 13:23 PM,patchAllisterW,osa,10,results/results.csv,0.5263157784938812,581,145,10
07/06/2021 13:26 PM,patchAllisterW,osa,10,results/results.csv,0.5526315867900848,581,145,10
